Title,Link,Time
Staffing Analysis Workbook for Jails,https://s3.amazonaws.com/static.nicic.gov/Library/016827.pdf,2025-02-24 19:12:55.709951
Classification of Women Offenders: Gender-Responsive ...,https://s3.amazonaws.com/static.nicic.gov/Library/021816.pdf,2025-02-24 19:12:55.718434
Critical issues and developments in prison classification,https://s3.amazonaws.com/static.nicic.gov/Library/017241.pdf,2025-02-24 19:12:55.726438
The effectiveness of the new intensive supervision programs,https://s3.amazonaws.com/static.nicic.gov/Library/007700.pdf,2025-02-24 19:12:55.732937
Restrictive Housing - An Annotated Bibliography,https://s3.amazonaws.com/static.nicic.gov/Library/032646.pdf,2025-02-24 19:12:55.739573
Dealing with the Problematic Inmate: Applying Effective ...,https://s3.amazonaws.com/static.nicic.gov/Library/016870.pdf,2025-02-24 19:12:55.745956
Summer 2005,https://s3.amazonaws.com/static.nicic.gov/Library/020756.pdf,2025-02-24 19:12:55.751442
Proceedings of the Large Jail Network Meeting,https://s3.amazonaws.com/static.nicic.gov/Library/029510.pdf,2025-02-24 19:12:55.756199
The Employer-Driven Model and Toolkit,https://s3.amazonaws.com/static.nicic.gov/Library/028099.pdf,2025-02-24 19:12:55.761063
Proceedings of the Large Jail Network Meeting: March 2014,https://s3.amazonaws.com/static.nicic.gov/Library/028230.pdf,2025-02-24 19:12:55.766274
Proceedings of the Large Jail Network Meeting,https://s3.amazonaws.com/static.nicic.gov/Library/027878.pdf,2025-02-24 19:13:00.221514
A National Assessment of Current Practices,https://s3.amazonaws.com/static.nicic.gov/Library/019468.pdf,2025-02-24 19:13:00.230224
Incorporating Services and support into Pretrial Supervision,https://s3.amazonaws.com/static.nicic.gov/Library/033627.pdf,2025-02-24 19:13:00.238639
Implementing Evidence-Based Principles in Community ...,https://s3.amazonaws.com/static.nicic.gov/Library/019344.pdf,2025-02-24 19:13:00.245598
National Survey of Criminal Justice Coordinating Councils,https://s3.amazonaws.com/static.nicic.gov/Library/033618.pdf,2025-02-24 19:13:00.251995
Costs of Incarceration Policies,https://s3.amazonaws.com/static.nicic.gov/Library/000943.pdf,2025-02-24 19:13:00.257442
HOSPICE AND PALLIATIVE CARE IN PRISONS,https://s3.amazonaws.com/static.nicic.gov/Library/014785.pdf,2025-02-24 19:13:00.263073
JAIL DIVERSION FOR THE MENTALLY ILL,https://s3.amazonaws.com/static.nicic.gov/Library/008754.pdf,2025-02-24 19:13:00.268211
Competency Profile of a Detention Facility Inspector,https://s3.amazonaws.com/static.nicic.gov/Library/017166.pdf,2025-02-24 19:13:00.272938
Veterans Treatment Courts: A Second Chance for Vets ...,https://s3.amazonaws.com/static.nicic.gov/Library/030108.pdf,2025-02-24 19:13:00.278057
APEX Change Agent Team Training,https://s3.amazonaws.com/static.nicic.gov/Library/028275_pm.pdf,2025-02-24 19:13:04.770676
Bulletin,https://s3.amazonaws.com/static.nicic.gov/Library/024801.pdf,2025-02-24 19:13:04.776524
Implementing Effective Correctional Management of ...,https://s3.amazonaws.com/static.nicic.gov/Library/021041.pdf,2025-02-24 19:13:04.782359
SPECIAL NEEDS POPULATIONS AND COST CONTROL,https://s3.amazonaws.com/static.nicic.gov/Library/013964.pdf,2025-02-24 19:13:04.787625
You're An Adult Now,https://s3.amazonaws.com/static.nicic.gov/Library/025555.pdf,2025-02-24 19:13:04.792880
